,Texto,sentimiento
734,"usalo este barbijo te protege dl covid el covid mata a vos te hablo gorila anti vacuna , anti barbijo n seas ignorante y n hagas la contra , n seas necio 😒😡",Negativo
735,"_f  estos links hay info y esta la inscripcion, meli",Negativo
736,"252 si es asi y por el caso que te cite de ejmira👇la de 21, necesito hasta nebulizaciones le costaba respirar bienla de 24, mucho dolor fisico y perdida de olfatola de 58, fiebrey el de 36, fue de forma leveademas, estar vacunado no asegura nada👇",Negativo
737,"_platt_  54069364  entonces,te vuelvo a preguntar a cuanto baja la letalidad estando vacunado q no estar estar o no vacunado es menos letal q tener covid eso seguro pero q es mas letal tener covid con vacuna o sin te pregunto xq de por si el covid tiene menos de 1% de letalidady cn vacuna",Negativo
738,esto no te lo pasan los medios argentinos,Negativo
739,"aclaro desde ya q no soy negacionista, simplemente soy una persona q le gusta ver la informacion, ya q escucho por todos lados afirmaciones pero no encuentro los datos q demuestren eso esta seria la letalidad del covid sin vacuna segun la oms",Negativo
740,"_viajero te cambio ninguna dosis de vacuna covid, x una de astra zeneca y vamos a la europas en monopatin electrico (",Negativo
741,"consulta, mi mama hace cinco dias recibio la vacuna anti gripal, luego le llego el turno para la segunda del covid, si bien hay que esperar 15 dias, tenemos que sacar turno nuevamente o vamos directamente al centro de vacunacion  muchas gracias ",Positivo
742,"no mientas araceli gitlein: el “intervalo minimo” entre 1a y 2a dosis de cualquier vacuna covid, no es de 3 meses, y lo sabes ese es el maximo asi que no intentes “tranquilizar a la poblacion” con mentiras segun conveniencia neuquen",Negativo
743,10 una impotencia y mas viendo en la tele  un medico que trabaja con pacientes covid y no tiene la segunda dosis de la vacuna y a los vip les importa un carajo la vida de estas personas,Negativo
744,que genio que sos eso lo sabiamos todos por eso estuviste al pedo y no hiciste nada para febrero ibamos a estar todos los argentinos vacunados estamos vacunados contra  el covid nola unica vacuna que tenemos es la de  uds de esa no zafamos,Negativo
745,una docena de paises siguen sin recibir ni una sola dosis de ninguna vacuna contra la covid,Negativo
746,"tuve covid me contagie trabajando contagie a mi mama de 84 anos que vive conmigo ella tenia la primer dosis de la vacuna la pasamos mal las dos mama estuvo en terapia hoy nos recuperamos lentamente imaginate lo que me produce ""ese dedito"" en particular😡",Negativo
747,"la concha al plato con el covid, el confinamiento, el distanciamiento, el aislamiento, la vacuna, que digan lo que tenemos que hacer y la puta madreeeee",Negativo
748,"1969 claaaa la vacuna, sueldo que el estado no limita de donde piensan que vamos a generar dinero hace 14 meses que acompano pero dejenme tra ba jar no solo el covid mata estamos aletargados despertemos pls",Negativo
749,jsjsjsjsjsjs pensar que la pase peor con la vacuna que con el covid lloro,Negativo
750,sin vacuna el encierro solo es una estupidezcuando abraestaremos otra vez con covidcuando lo entienden ,Negativo
751,"las medidas de prevencion siguen siendo la mejor forma de seguir cuidandonos, incluso, si ya recibiste la vacuna contra el covid-19 la pandemia no termino sigamoscuidandonos en cruz roja argentina - filial san andres",Positivo
752,"seguimos con mas fuerzas inscribiendo en la municipalidad de norberto de la riestra para la vacuna covid-19  no dudes en preguntar te damos todas informacion, tu pregunta no molesta",Negativo
753,"nuevo vacunadosvip💉pablo duggan el periodista militante k de 5n que con 47 anos se acaba de vacunar contra el covidel caradura y encima agradeciendo al presidente, al gobernador kicillof y al intendente de tigre la vacuna la pagamos ""los argentinos""",Negativo
754,yomevacuno maria eva recibio su 2da dosis de vacuna contra covid escuchemos como se cuida ella y su familia testimonio,Negativo
755,"si son una persona sin patologias previas y menor de 60 anos registrate igual para recibir la vacuna contra el covid-19, por que si no lo haces, el gobierno cree que en tu distrito ya no hay casos positivos y dejan de mandar vacunas, es por eso que yo me anote",Negativo
756,"aca estamos muy contentos, recibiendo a los vecinos mayores de 60 anos que vienen a recibir la primera dosis de la vacuna contra el covid-19, en el club ferro carril oeste  con el compromiso de siempre, vacuna que llega, vacuna que se aplica de manera transparente",Positivo
757,"la encuesta anterior estaba mal porque habia repetido una opcion sin querer, asi que va otra vez: como crees que vas a empezar el 2022 ""sin vacuna y sin covid"" no es una opcion valida a proposito",Positivo
758,"querida ivana yo ayer enterre a mi hermano el sufrio una semana pero no por la vacuna es por este covid que no sabemos en donde esta y cuando viene, te entiendo perfectamente un abrazo a la distancia yo admiraba a tu padre un genio total",Positivo
759,7   fabian el ain    no lo vi  tarde  verdad  tan tarde    lei q  tan ocupados en formula de la vacuna q x suerte hay cientificos q se estan ocupando de encontrar  droga talondeaquiles del covid  q no deje entrar al virus ,Negativo
760,_ si claro laburo en dos hospitales y con mi sueldo hago lo que se me canta si quiero volver a viajar no me voy a andar sintiendo culpable tengo las dos dosis de la vacuna  y me expongo menos viajando que cada vez que entro a las salas covid  besito,Positivo
761,🤝a la par del adulto mayor 😷entubarrio a partir de la ⏰10:30 👉estaremos en bpiedrapintadarealizando la inscripcion correspondiente a la vacuna del covid-19🦠la visita sera 🏠casa por casa 🏠noscuidamosentretodos,Negativo
762,llevamos a mi abuelo a vacunarse y en una se le acerca la enfermera y le dice : -te pusiste alguna otra vacuna que no sea la del covidmi abuelo: nono por suerte soy de central y no me vacunaron(la mina se mataba de la risa *tengo al mejor abuelo del mundo,Negativo
763,"le llego el turno de la segunda dosis de la vacuna a mi abuela el sabado a las 9am, deja, prefiero que le de covid",Negativo
764,"ahora [salud]vacunacion covid-19: si tu indice de masa corporal es igual o mayor a 35, acercate a tu medico para que certifique esta situacion esto significa que sos poblacion de riesgo y tenes prioridad para recibir la vacuna covid👉 mira este video 👇",Negativo
765,ke siga asi leve y tambien para tu hermano yo hoy me puse la vacuna contra el covid,Negativo
766,"otro mundo,  otro gobierno,  otra gente",Negativo
767,es muy triste todo mi viejo partio anoche x este covid de m no pudimos despedirlo tenia primera  dosis de la vacuna sin enfermedades preexistentes,Negativo
768,_sala lo lamento muchos esta pandemia nos esta llevando muchos vecinos de lanus entre ellos mi padre que fallecio de covid a sus 92 anos y teniendo la primera dosis de vacuna siempre vivio en lanus oeste en villa diamante muy querido x sus vecinos,Negativo
769,"literal que creo mucho en la eficiencia de la vacuna covid, porque sino no se explica que trabajando en el sector covid no me volvi a contagiar",Negativo
770,circula en redes estan metiendo nanochips en la vacuna anti-covid-19 imanes se adhieren en el brazo,Negativo
771,"_h   1   _info       y las vacuna para covid base transgenesis y la insulina que se fabrica con bacterias gmo, tambien tambien sin malas, o solo estas en contra de que se puede producir de manera mas eficiente y haya alimentos para todo el mundo",Negativo
772,"el lunes 24 de mayo se cumple el plazo maximo de 12 semanas para recibir la segunda dosis de la vacuna covid-19, ya que me vacunaron el 24 de febrero che  te acordas que lxs docentes ibamos a estar vacunadas llegara la 2da dosis, vos que decis",Positivo
773,"7  ocupados en formula vacuna suerte hay cientificos q se estan ocupando de encontrar  droga talondeaquiles  covid  q no deje entrar al virus  traducido a tarea del psicologo hacer algo para q no entre ""hospitalizacion"""" en  seres humanos perezalejandra♀️🧚🏼‍♀️",Negativo
774,"1ro - no esta aprobado por la anmat esa vacuna2 - estar vacunado no evita que te puedas contagiar igual, ayuda a tener sintomas levestodo el plantel de river podria haber estado vacunado y el brote de covid se podria haber dado igual",Positivo
775,covid: aprobaron el ensayo de una nueva vacuna en el pais y buscan voluntarios  via,Negativo
776,deteccion anticuerpos covid 19en el marco de un convenio entre  y  comenzamos con la extraccion de sangre a 300 farmaceuticos que recibieron la vacunala investigacion busca determinar los anticuerpos covid 19 y los efectos adversos a la vacunacion,Negativo
777,"la vacuna contra el covid no te da inmunidad,solo hace que los sintomas sean mas leves esto nos lleva a que el virus va a ser una enfermedad mas y que cada tanto vamos a tener que reforzar la vacuna",Negativo
778,"ya estoy empadronada, ahora a esperar turno para vacuna coviden verdad no pensaba aplicarme la, pero visto y considerando como este desgobierno maneja la pandemia, no queda opcion",Negativo
779,"espnf90 muchachos no se confundan, el hecho de que una persona este vacunada no quiere decir q no se vaya a contagiar de covid-19, la vacuna es para tratar de que el virus no te mate",Positivo
780,a ver pollito ma ma  hay abuelos que ni siquiera la primera vacuna tienen policias medicos que dan nuestras vidas tienen vacuna y vos hablas preocupados por que los jugadores tienen covid dejate de joder sos tan chupa huevo de gallardeo quien es river y boca y los demas espnf90,Negativo
781,las personas residentes de la ciudad de entre 55 y 59 anos que tengan enfermedades cronicas o condiciones de riesgo (estipuladas en el plan de vacunacion ya pueden empadronarse para recibir la vacuna contra el covid 👉,Negativo
782,"me llego el turno estoy en la matanza, haciendo la fila, donde en un ratito me van dar la primera dosis de la vacuna contra el covid",Negativo
783,"a partir de hoy, ya pueden empadronarse para recibir la vacuna contra el covid-19 las personas de entre 55 y 59 anos con enfermedades cronicas o condiciones de riesgo pueden anotarse en  o escribiendo al 11-5050-0147 💉",Negativo
784,"hoy voy a jugar al loto, tengo mas posibilidades de ganarlo que de conseguir la vacuna de covidtengo 65 anos, empadronada desde el 21/4 a las 8am hs",Negativo
785,"abogado ianolffi primera autopsia, negativo de covid y muerte del paciente por inyectarse la vacuna",Negativo
786,"gracias    por la vacuna el ano pasado perdi a mi mama por covid, hoy ya con la segunda dosis recupero la esperanza    gracias, gracias, gracias, estoy felizyomevacuneenquilmesbuenosairesvacunate",Positivo
787,acabo de enterarme que hay alguien diciendo que tengo covidla verdad que un espectaculo lo que funciona la vacuna china que me puse porque ni mi cuerpo se entero todavia que tiene 👑🧬,Negativo
788,"1 dr una pregunta una persona que no tiene el bazo  , se lo extiparon por un accidente se puede vacunar con la vacuna de la gripe hasta que le toque la de el covid ",Negativo
789,puse en cada red social mi foto con las dos dosis de la vacuna contra el covid eso se llama felicidad jajaja,Negativo
790,"7  panickattack c intente ingresarme p vacunarme en   dice ingrese clave me paso afip,  etc  no se si fue volver a hacer tramites panico vacuna,morirme covid x no llegar a vacunarme,no se perez alejandra♀️🧚🏼‍♀️211165  miblasalit ❤🐕♂  sola",Negativo
791,"zanini y tu casta privilegiada le sacaron la vacuna a un chico de 16 anos que tenia paralisis cerebral y murio por covid las personas con discapacidad, el personal de salud y los abuelos tenian el privilegio y sin embargo se estan muriendo por la hijaputez de ustedes",Negativo
792,"yo perdi  mu hermanita ,se fue el viernes   din sin vacunarse  68 y ninguna vacuna  dolor  inmenso   ,covid y gobierno una mierda",Negativo
793,"- inscripcion a vacunas covid 19 (mayores de 60 y mayores de 40 con factores de riesgo- certificacion imc (indice de masa corporal, obesidad ii y iii certificado necesario para poder inscribir a la vacuna covid-19 a mayores de 40 con obesidad",Negativo
794,"ahoraenamerica mi esposa se vacuno el 13/5 con la vacuna de la gripe y ahora le salio el turno para la del covid el dia 18/5, que hace, se la da igual",Negativo
795,"hermosa noticia todos con covid, mama tiene una sola vacuna xq la segunda de esa jamas llegolpmqlp",Negativo
796,📌✅nueva tanda para la matanza: se estan enviando nuevos turnos para la vacuna contra el covid-19 mira 👇aviso lamatanza covid19covid_19vacunacionvacunacovid19,Negativo
797,87  que asesino  enferma  metal  lo que estan  en el gobierno  robando  vacuna  y haciendo  negocio  con los hisopado  gracias  a gente  de m como  vos esta  el pais  con un 50%de pobres  y 69000 muertos  por covid  idiota,Negativo
798,del dicho al hecho hay mucho trecho*pj maria grande condenando una chica por un tweet**pj nacional y la campora felices porque una chica de 18 anos militante de ellos se puso una vacuna contra el covid que estaba destinada para alguna persona mayor* mariagrande,Positivo
799,"_jotaok tal cual una vieja chota quede  y un dolor que ni cuento 🤣 el lunes me anoto para la vacuna covid, imaginate mi level",Negativo
800,"vacunacion covid-19 en el  ⚠️☝️los mayores de 50 anos pueden acercarse a recibir la vacuna💉 contra el covid en el hospital por el porton de calle pedro ferre⚠️☝️ en mercedes, corrientes",Positivo
801,"chaco vacuna a periodistas 💻📱🗞💉sputnik inmunizados covid en resistencia, chaco",Negativo
802,vacuna contra el covid-19: desde este lunes se habilitara la inscripcion para personas mayores de 40 anos,Positivo
803,"una mina me vino a preguntar si vendia vacuna de covid para su perro, yo no entiendo nada ya se fue todo a la mierda",Negativo
804,"111959    tengo entendido q la efectividad de las vacunas ronda el 90% aprox te invito a que revises la mortalidad del covid sin vacuna, no llega al 1% a cuanto baja la mortalidad cn 1 o 2 dosis te comparto fuente oficial de la oms si tenes tu fuente, bienvenida",Negativo
805,fijense en la app que salieron muchisimos turnos para manana para darse la 2da dosis de la vacuna contra el covid tandil,Negativo
806,"teniendo en cuenta que, a este paso, me va a tocar la vacuna del covid el ano que vieneme acabo de dar la de la neumonia ahora sale siestita ci vediamo doppo 😴",Negativo
807,"turista q viaja p florida p la vacuna covid gasta gt3’000usd entre comida, hotel etcvacuna sale al estado usd8mismo en los emiratos arabes (5 vacunas: desde febrero, europeos viajan a dubai p vacunarse, gastan gt3’000 usd en la estadiay nosotros: “vamo a volve”",Negativo
808,hoy le aplicaron la segunda dosis de la vacuna contra el covid a mi papa ahora tanto el como mi mama ya estan totalmente inmunizados 🥳,Positivo
809,pq no le preguntan al gobierno de la ciudad cual es la causa q no llaman a empadronados de 65 anos q estan reclamando x vacuna covid o esperan q se mueran hablan ahora de menores de 59 anos quien los entiende,Negativo
810,"vivo en caba,tengo65a,soy hipertensa c/sobrepeso, empadronada vacuna covid desde el21/4 sin turno y sin respuestas logicas en147cual es la atencion o respuesta q me puede dar pami sobre fecha de vacunacion tweeteo con ingenidad y sin esperanza de ser contestada",Negativo
811,mi mami ya esta anotada  para la vacuna contra el covid 🥺,Negativo
812,"vacunacion |  en reunion virtual, dirigentes expresaron al gobernador  su preocupacion respecto a la vacunacion contra covid-19, dado que empleados y empleadores del sector privado, que trabajan en forma presencial, no tienen fecha alguna para aplicar la vacuna",Negativo
813,"los que le estan por darle la oportunidad q funcione correctamente a corto, mediano y largo plazo a la vacuna rusa y china de covid-19, le estan dando la oportunidad tambien a los que la fabrican y los que la traenson audaceseh admirable (con todo respeto y sin polemizar",Positivo
814,gracias por millones axel ayer complete esquema de vacunacion covid con vacuna sinopharm por ser docente gratitud eterna salvandovidas,Positivo
815,"147 no estan dando ningun tipo de informacion, a las personas mayores de 60 que se pusieron la vacuna antigripal y no volvio llamado por 2da dosis covid , desamparados colapso sistema bot caba 5n   _pau",Negativo
816,"propongo que pensemos esto alguien esta viendo que el ano que viene nos vamos a tener que volver a vacunar contra el covid 19 digo, x lo lento de la vacunacion y por las ridiculas peleas de donde viene la vacuna  nanana",Negativo
817,_   perdon no entiendo lo de la vacuna el padre estaba vacunado pero tenia el covid antes en su cuerpo,Negativo
818,"acaba de faller un familiar despues de no aguantar los sintomas que te causa la vacuna contra el covid y mi mama me dice que ella no quiere vacunarse por miedo a que le pase lo mismo 💔ya no sabemos si vacunarse es lo mejor o no, pero ojala este virus no toque a mi familia🤞🏻",Negativo
819,este sabado vamos a estar en diferentes barrios para la preinscripcion de la vacuna covid-19 y la campana nacional de la vacuna antigripal para lxs jubiladxs 💉👵🏻👴🏻📌 114 a y av 7 - (san jose san mauro📌 av vergara y av 7📌 127 y av 7📌 161 esquina 12 - (barrio asuncion,Negativo
820,"el pediatra de mi hija , ah no perdon fallecio tuvo covid , las vacunas las usaron para otros , si traen ahora vacuna para revivir gente los perdono 😷",Negativo
821,_ 1977  que es mas caro que seguro nunca penso tampoco sacarle una cama a nadiepero le toco lamentablemente estar internado y se junta que no tendria q' haber  dejado su vacunapero como nos robaron las vacunas ojala nunca te toque estar internado y sufrir lo que es un covid uf,Negativo
822,"tranquilo jonatan, vas a estar bien y muy pronto, vos tenes un covid normal, liviano x ser natural, y no como tu papa causado x la vacuna 😉",Positivo
823,"todas las personas mayores de 18 anos se pueden inscribir para recibir la vacuna contra covid 19 luego la provincia va llamando de acuerdo edad y situacion (docente, personal de salud, con enfermedades etc ayer se hizo una jornada de inscripcion en santa lucia",Negativo
824,buscan que trabajadores de los cementerios municipales reciban la vacuna contra el covid-19 ver mas en ➡️,Positivo
825,cual es la mejor vacuna contra el covid-19,Negativo
826,"87957612 6_  por favor, no estoy diciendo que lo que decis es mentira, todo lo contrario lo que si sostengo es que el covid existe y nadie deberia estar obligado a darse ninguna vacuna hasta no estar convencido de ello deseo que te mejores lo mas pronto posible te abrazo fuerte",Negativo
827,"absolutam no hay  historial tengo 60 es costo-beneficio si no me muero con la vacuna, puedo morir por covid asmatica quiero difrutar lo que ses con mis nietas los jovenes deberian cuidarse y no vacunarse hasta q sea seguro ojala los politicos nos imitaran jajaja abrazo",Negativo
828,💉habilitaron nuevo cronograma para segunda dosis de vacuna sinopharm en misiones contra el covid-19 sera para los grupos de personas de 50 a 59 anos con comorbilidades y mayores de 60 anos que han recibido la primera dosis en marzo,Negativo
829,"elnoticieroln dr zin, ud se equivoco cuando defendio la vacuna de astra cuando dijo q eran pocos las personas q presentaban trombosis algo asi como q era poco el costo al gran beneficio una vida menos por trombo o covid sin fallecidos igualhace bien en retractarse",Negativo
830,"hace unos dias me contaron q una excelente profe de bioquimica q tuve en la facultad, dra graciela, se murio hace 2 minutos me contaron que un maestro que tuve en anato c, dr costi, fallecio tenian covid estamos perdiendo los buenos para una enfermedad que ya tiene vacuna 😔",Negativo
831,"mie 12 de may, 2021: mi mama recibio 2da dosis de la vacuna contra el covid-19 a sus 83 anos ahora si esta totalmente inmunizada vacunatepba vacunacovid19 sinopharm vaccinecovid19 buenmiercoles felizmiercoles 12may2021",Positivo
832,"canada ya no ofrecera las primeras dosis de la vacuna astrazeneca covid-19 debido a un aumento en los informes de coagulos sanguineos raros el anuncio fue hecho por el director medico de salud de ontario, dr david williams, el martes 11 mayo-21 por l",Negativo
833,eslovaquia suspende el uso de la vacuna astrazeneca covid-19,Negativo
834,"agencia brasilena pide suspender la vacuna astrazeneca para mujeres embarazadasla autoridad sanitaria de brasil, anvisa, ha pedido la suspension inmediata del uso de la vacuna covid-19 de astrazeneca entre las mujeres embarazadas",Negativo
835,"hoy recibi la vacuna contra el covid,  primera dosis",Negativo
836,los datos obtenidos a traves del monitor publico de vacunacion  dejan los siguiente numeros de vacunas contra el covid-19 que se aplicaron en el pais,Negativo
837,𝗘𝗾𝘂𝗶𝗽𝗼𝗖𝗿𝗶𝘀𝘁𝗶𝗻𝗮 la ministra de salud  confirmo que argentina recibira 𝟰 𝗺𝗶𝗹𝗹𝗼𝗻𝗲𝘀 de dosis de la vacuna astrazeneca contra el covid-19 durante el mes de mayo sale hilo 👇,Negativo
838,entiendo tu postura pero soy pro vacuna a pesar de que aun no este probada ni en un 30% prefiero arriesgarme a mi edad es costo-beneficio si no me vacuno las posibilidades de tener covid es amplia prefiero  tener efectos colaterales y arriesgarme yo me vacuno,Negativo
839,"""covid-19: eeuu aprueba la aplicacion de la vacuna de pfizer en adolescentes de entre 12 y 15 anos"" coronavirus",Negativo
840,atencion suena raro lo q voy a decirpero 5 amigos despues de darse la vacuna china les agarro covid y murieronme esta haciendo un poco de ruido la vacuna sinopharm estoy preocupado con esta vacuna solo un comentario para estar alertas  intratables,Negativo
841,argentina recibira 3960000 dosis de la vacuna astrazeneca contra la covid-19 durante el mes de mayose trata de la primera entrega realizada por la compania en el marco del contrato que firmo la argentina para la adquisicion de 22400000 dosis de vacunas,Negativo
842,atencion suena raro lo q voy a decirpero 5 amigos despues de darse la vacuna china les agarro covid y murieronme esta haciendo un poco de ruido la vacuna sinopharm estoy preocupado con esta vacuna solo un comentario para estar alertas,Negativo
843,__tir _vero_run ya tuvo covid y tiene la vacuna,Negativo
844,"no confio en la vacuna x el covid,se las regalocon invermectina me alcanza y me sobracompro 4,con 1 x semana durante 1 mes",Negativo
845,vamos,Negativo
846,"mi vieja se vacuno el miercoles con la 2da dosis de sinopharm, desde wsal sabado empezo a sentirse mal, vomitos, diarrea, dificuktad para respirar, falta de apetito, pensaron que era efecto secundario de la vacuna, el medico le dijo hispate por las dudas: covid positivo",Positivo
847,ayudamos a cuidarte👉estamos en el centro de convivencia barrial santa lucia ayudando a vecinos y vecinas a inscribirse para recibir la vacuna del covid 19estamos hasta las 13 hs en el ccb en calle 1752 2131 acercate con barbijo😷💪arribacuidar,Negativo
848,de lo que no se habla es si respeto la cuarentena por estar con gente con covid en cordoba la vacuna le va a hacer efecto en 14 dias,Negativo
849,_org_ar yo me pregunto cuando estaran las vacunas contra la gripe o es otra mentira como la vacuna contra el covid,Negativo
850,en un ano en el kiosko te van a dar de vuelto una vacuna de covid,Positivo
851,"13 mil adultos mayores ya se vacunaron en pergamino 💉♥️en nuestra ciudad, el 68,2% de los inscriptos mayores de 60 anos ya recibieron al menos una dosis de la vacuna contra el covid-19si aun no te anotaste podes hacerlo ingresando a",Positivo
852,"_lennon yo estoy organizando todo para irme a vacunar alla la vacuna no es paga, te vacunan en la playa con el pasaporte la estadia y el seguro de salud lo pagas como con cualquier viaje lo hare xq de aca a que me vacunen voy a tener covid 3 veces soy fan de la realidad",Negativo
853,"trabajadoras y trabajadores expuestos al covid-19 recibiran la vacuna en las proximas etapas del plan provincial de vacunacion contra coronavirus, estaran incluidas personas de riesgo de exposicion por el trabajo que desempenan, como periodistas,",Positivo
854,"doc, estoy internada,covid descartado 2 hisopados abr/mayo 175 anos-2tengo epoc-3me vacune 1dosis sinopharm 7/4a los 10 dias me falto el aire/me dan inyectable corticoide piden otro hisopado=negativo descubren internada trombosis pulmones los dos fue x vacuna",Negativo
855,_ tengo conocida con covid 1era vez la paso fulero despues vacuna (2 dosis y luego de varios dias lo contrajo nuevamente pero muy leve lo paso mucho mejor🤷‍♂️,Negativo
856,la doble moral de  ✈️ viajo a eeuu siendo contacto estrecho de una persona covid positivo💉 se aplico la vacuna a pesar de sus declaraciones en febreroasi se maneja el sector politico que representa hacen mucho dano a nuestro pais,Negativo
857,mientras tanto aca en la argentina no paramos de traer la mejor vacuna contra el covid🙋🎊🎉✊✌💉,Negativo
858,critican a   porque se vacuno en miami y tiene covid esperancitas que parte no entienden que por mas  se este vacunado se puede contagiar igual hay que seguir cuidandosela vacuna quizas te salve de ocupar una cama en terapia pero no del virusangeldebrito,Negativo
859,coronavirus covid 19: llegada desde moscu del vuelo de aerolineas argentinas que trajo 500000 dosis del componente 1 de la vacuna sputnik v,Negativo
860,"vas a walmart y de paso te vacunas contra covid aca hecho todo a los ponchazos tenes q ir a una unidad basica peronista o kirchnerista, afiliarte y ahi recibis las vacuna casi igual no",Positivo
861,mi esposa y yo seguimos esperando turno para la vacuna covid que pasa con las o sociales y prepagas obligadas para los ciudadanos ajo y agua como unica respuesta,Negativo
862,"_c9 dr estol, me anote el 2 de  abril para la vacuna contra el covid, todavia no he recibido mi turno, tengo 70 anos, estoy muy preocupada muchas gracias",Positivo
863,⚠️ recorda que debes respetar un intervalo de al menos 15 dias entre la aplicacion de la vacuna contra el covid-19 y la vacuna antigripalvacunacioncuidada ❤️,Negativo
864,"_mar_a 1983   covidiotas me da a falta de respeto a las 56mil muertos por covid, q no tuvieron la chanse de esquivarle al virus,por q la vacuna q le tocaba la tiene un politico, poniendose como personal de salud sus familiares sus gastos, o los zombis de la kagampora,no tenes verguenza mabel",Negativo
865,"esta foto y otros miles sin fotos  virales son los culpables de las muertes x covid al menos dese enero 🤬🤬 no voy a entreder nunca como se sienten q tienen derecho a esa vacuna antes q los viejos, los medicos, los enfermos oncologicos, los discapacitados",Negativo
866,hoy vimos por un lado fallecer a un politico por contagiarse de covid mientras esperaba la vacuna como cualquier ciudadano y por el otro a un ex presidente vacunandose en el extranjero dejando como mensaje que si tenes dinero te podes salvar solo triste todo,Negativo
867,"630 todos los dias, desde enero 2021, se deberian publicar con nombre y apellido cada fallecido por covid mayor de 60 anos corresponde a cada vacuna r o b a d a gobiernogenocida gobiernocriminalycorrupto",Negativo
868,a alguien le paso que le diran turno para la vacuna de covid y luego se lo cancelaron,Negativo
869,36079657  reutemann no es covid binner murio de ahizember nada que ver vacuna le faltaban dias para el turno deja de hacer politica con la muerte,Negativo
870,"_her85   pero el 02/03/2021 murio de covid por eso, cuando me entero q alguien salio y se vacuna, lo👏, significa q alguien ➕puede ser vacunado",Negativo
871,"si veamosel 🌎 ya permite ✈entre paises y algunos exigen un pasaporte sanitario con la vacuna del covid aplicada, el viaja, es decir el cumplecon lo q el resto del 🌎 exige, mientras q aca solo se le exige a los trabajadores no moverse de sus casas",Negativo
872,"5n lo esta matando a   porque se vacuno en eeuu no le saco la vacuna a ningun argentino, ustedes se las robaron como me gusta mirar 5n alcarajo bastababy covid",Negativo
873,"en la manana de hoy domingo se aplicaron alrededor de 80 segundas dosis de sinopharm en pareraen la manana de hoy domingo 9 de mayo se dio continuidad con la vacunacion contra el covid en nuestra localidad, aplicandose las segundas dosis de la vacuna china sinopharm",Negativo
874,"mi vieja es docente de nivel inicial en la ciudad, en un colegio donde hay burbujas aisladas por casos positivos de covid, y es de riesgo (asmatica todavia no tiene ni la primera dosis de la vacuna",Negativo
875,"🔴atencion manana lunes 10 de mayo se estara aplicando 2da dosis de vacuna covid 19, en club almirante a partir de las 9 hscorroborar que sean 21 dias de la primera dosis de vacuna sinopharm para poder aplicarle la 2darespetemos el horario y el protocolo establecido",Positivo
876,"buen dia en medio de tanta locura repetimos: la vacuna no impide que contraiga covid, el que contrae covid no es un condenado  a muerte,no tod l que contraen son irresponsables y no necesitan un juezy por ultimo practiquemos con ellos la empatia gracias",Positivo
877,"que cosa, lograron la vacuna para salvarse de morir por covid 19 y se mueren por enfrentarse",Negativo
878,se viene la nueva vacuna israeli para combatir el covid 19 en la argentina y desde aqui a latinoamerica    1 _israel,Positivo
879,"hoy puedo celebrar, tengo a mis 2 padres con las 2 dosis de vacuna contra el covid gracias schiaretti gracias dios gracias alberto ni bostagracias a los cientificos que crearon la formula",Positivo
880,mendoza difundir a partir de hoy se encuentra abierta la inscripcion de la vacuna de  covid 19 para personas de 40 a 59 anos que viven con vih- link inscripcion 👉🏼  con tu rt,Negativo
881,"que hijos de p… le niegan la vacuna a gente que cumple con los requisitos para ser vacunados, pero reparten miles de dosis covid-19 a piqueteros y gremialistas hacen politica con la vida de las personas infames",Positivo
882,"77 mi mama se dio la primer dosis de covid el 30/3 el 23/4 le aplicaron la de la gripe  seguimos esperando la segunda dosis de covid entre una vacuna y otra tiene que esperar 15 dias si justo te llaman para la segunda dosis antes de ese tiempo, avisas y te la reservan",Negativo
883,77 espera ademas hay que averiguar bien cuanto hay q esperar despues de la vacuna de covid para darse la de la gripe,Positivo
884,dia numero uno de mi novio post vacuna covid: es un flojo,Negativo
885,completar la vacunacion de docentes en mendozaarg q habian recibido la 1 dosis sinopharm comenzo este viernes pero seguira el lunes porque sorpresa no se vacuna ni sabados ni domingo vacunacovid19 ayer hubo 21 muertos x covid,Negativo
886,"que belleza ese  plato se ve exquisito en mi proxima,  espero poder llegargracias a dios,  tengo colocada la primera dosis de la vacuna para covid  que tengas un grandioso dia abrazos 🤗 y bendiciones para alla",Positivo
887,se dieron cuenta de que en muchos paises podes comprar la vacuna contra del covidse pusieron a pensar por que en argentina no podes comprar a tu prepaga la vacuna y dejar las gratis para los que requieren de ayuda social este gobierno de mierda quiere ser la unica opcion,Negativo
888,"ser daniela es: ponerse la vacuna de la gripe y resfriarse a la semana la de covid mejor no, gracias",Positivo
889,"estimado dr yo recuerdo haberlo escuchado a usted, al principio de las negociaciones por las vacunas contra, el covid, que argentina habia negociado por la peor vacuna hoy sin mosquearse lo escuche que era una muy buena vacuna pobre publico",Negativo
890,hoy es un hermoso dia 😀😀🥳🥳 : vacunaron a mi mama contra el covid 19 con la vacuna rusa 🇷🇺💉 : sputnik v  2,Positivo
891,acompanando a mi mama a que se vacune contra la covid 19 con la vacuna rusa : sputnik v 💉🇷🇺 2,Negativo
892,todos los dias alguien postea feliz una foto de un familar vacunandose hoy fuimos con el movil de la 89 a la ex rural y nos enteramos que ya hay 600 mil personas que en la provincia de santa fe se aplicaron la vacuna contra el covid aca la nota 👇,Negativo
